Name,qty
ADANIGREEN,10
ADANIPOWER,1
ADANIENT,1
ADANIPORTS,1
AFFLE,1
ANGELONE,1
ASHOKLEY,1
ASIANPAINT,1
AVANTIFEED,1
BAJFINANCE,1
BRITANNIA,1
CENTURYPLY,1
COALINDIA,1
GMDCLTD,1
GMMPFAUDLR,1
GOCOLORS,1
GRSE,1
HAL,1
HGS,1
HUDCO,1
INFY,1
IOC,1
ITC,1
JIOFIN,1
JSWSTEEL,1
JWL,1
KPITTECH,1
MHRIL,1
OIL,1
QUESS,1
RSWM,1
SBIN,1
SONACOMS,1
TATAPOWER,1
TATASTEEL,1
TCS,1
UNOMINDA,1
VEDL,1
ZOMATO,1
TITAN,2
PRESTIGE,1
HCLTECH,1
INOXWIND,5
KPIGREEN,4
IREDA,1
BDL,1
TATAMOTORS,1
TATAPOWER,1
SHILPAMED,1
PAYTM,1
VBL,1
CYIENT,1
SIS,1
KIMS,1
BHARTIARTL,1
TRIVENI,1
PCBL,1
TATATECH,1
RENUKA,1
HUDCO,1
PATANJALI,1
JKTYRE,1
SAREGAMA,1
RAINBOW,1
CELLO,1
LATENTVIEW,1
NBCC,1
REDTAPE,1
BECTORFOOD,1
CDSL,1
POLYCAB,1
